id	filename	md5	size	state
bcb43723-260d-465f-9fe8-a9519a57b29e	bcb43723-260d-465f-9fe8-a9519a57b29e/2e74d26e-c0c8-49dc-98d8-88d28a98f662.wxs.aliquot_ensemble_masked.maf.gz	73dd21d21c15835009aa747b0df7b8a4	30568	validated
e585878b-98af-4e3f-b03c-6b5a4e7a202c	e585878b-98af-4e3f-b03c-6b5a4e7a202c/45310b76-8ea1-4d13-9d9f-1f1d874e0285.rna_seq.augmented_star_gene_counts.tsv	09a0a192d9a96a3b004cb9d1c05aefb9	4261858	validated
0aa4fbc1-ec6c-4376-b2c7-5e796584d234	0aa4fbc1-ec6c-4376-b2c7-5e796584d234/df6491d4-98ff-4a0b-b88d-780b7ca73d11.wxs.aliquot_ensemble_masked.maf.gz	3a89a33e7d6de325a81e9840836e4e9a	315931	validated
334cc9fa-3e9b-4462-b84d-dc595e89d537	334cc9fa-3e9b-4462-b84d-dc595e89d537/49acc5ad-6a61-41e1-9acb-4260e932a184.rna_seq.augmented_star_gene_counts.tsv	3f0751b58efdb8a96a158b5d8ae5b61a	4242279	validated
8a6d9946-9ac1-4924-9d24-f8a7e0fbcf72	8a6d9946-9ac1-4924-9d24-f8a7e0fbcf72/1d2d325a-9f06-4f14-9ed1-db7e3f203117.wxs.aliquot_ensemble_masked.maf.gz	1df85098c8481b563d42f01fcf77936f	235407	validated
e955024b-d48c-4b1b-9202-f91d85e605be	e955024b-d48c-4b1b-9202-f91d85e605be/452251e8-b4b1-44d7-a327-51e5e47edcec.wxs.aliquot_ensemble_masked.maf.gz	4a56dd0ea0c8bf39d517ad4a3fb8f281	150131	validated
361e4878-4535-499d-9987-7295a078bbee	361e4878-4535-499d-9987-7295a078bbee/ab0a7727-00ee-40fa-b5f5-a69234473e4a.rna_seq.augmented_star_gene_counts.tsv	fd1f51878ed84fdfd1735a05eaab6169	4229669	validated
ab706b48-1249-48d6-8297-c1eb62617c6d	ab706b48-1249-48d6-8297-c1eb62617c6d/76e5dd02-95cd-4e1b-a79b-9a4a9a5bd4d8.wxs.aliquot_ensemble_masked.maf.gz	66d947848d1cfc313bb185016b1fe932	19147	validated
db8e00e7-5ad7-4fb7-81e7-beabe6700c5f	db8e00e7-5ad7-4fb7-81e7-beabe6700c5f/b91dfde6-87fb-4a9f-8aac-07e02098d860.wxs.aliquot_ensemble_masked.maf.gz	9eecc697348a1949b8cf29102190da81	128740	validated
4bd86df0-6768-4741-8d01-51fe34dd57fd	4bd86df0-6768-4741-8d01-51fe34dd57fd/bd1e3dcd-31c4-4f7f-8e99-9ad0d1050294.rna_seq.augmented_star_gene_counts.tsv	1e91674789dcd6a6bcc97d8171893ad9	4253061	validated
3973bbdc-bc07-4deb-955b-3c40e88a68be	3973bbdc-bc07-4deb-955b-3c40e88a68be/c6b74844-5140-4c2e-b13d-fc50c2f2e9f1.rna_seq.augmented_star_gene_counts.tsv	70533535287e42cfa51abf1138826d6e	4232275	validated
4f59681b-3811-4569-aa50-ed031f7e370a	4f59681b-3811-4569-aa50-ed031f7e370a/afccc865-1d58-475d-b85c-0d7eca330b0e.rna_seq.augmented_star_gene_counts.tsv	394fd5a624e37263b39a63413b9e5442	4214409	validated
968c4aa2-2bcd-4823-b7fa-fbedc41ddb25	968c4aa2-2bcd-4823-b7fa-fbedc41ddb25/d7339ba2-0cc2-40b7-9dbe-f8f3366b20d9.rna_seq.augmented_star_gene_counts.tsv	6e228114d239ac381ef7ca831144a869	4249826	validated
9bd26335-dd71-4821-b7d1-a4e24430fbb3	9bd26335-dd71-4821-b7d1-a4e24430fbb3/841e54a1-9d65-4256-b70e-eb64659b40a4.rna_seq.augmented_star_gene_counts.tsv	7317608cc1ef3790db80ce5e07d4ca91	4229983	validated
